species_id,species,gps,genus,family,age,color
0,Akidograptus ascensus,"(119.676,30.608) (108.631,31.985) (117.357,30.198) (117.968,30.561) (88.682,31.129) (111.391,30.862)",Akidograptus,"Dimorphograptidae Elles & Wood, 1908","Rhuddanian, Llandovery (early Silurian)",D0EBDF
1,"Amplexograptus acusiformis,Amplexograptus confertus","(115.062,29.303)",Archiclimacograptus,"Diplograptidae Lapworth, 1873",Darriwilian (Middle Ordovician)-Sandbian (Late Ordovician),66CBBB
2,Amplexograptus confertus,"(115.062,29.303) (118.629,28.77) (118.628,28.746) (95.362,37.861) (115.105,29.263) (118.266,30.221)",Archiclimacograptus,"Diplograptidae Lapworth, 1873",Darriwilian (Middle Ordovician),66CBBB
3,Amplexograptus disjunctus yangtzensis,"(106.925,27.765) (110.489,30.613) (111.076,30.173) (119.144,32.044) (111.435,30.914) (120.993,31.394) (111.305,30.697)",Amplexograptus,"Diplograptidae Lapworth, 1873","Katian, Late Ordovician",66CBBB
4,Amplexograptus fusiformis,"(115.062,29.303)",Amplexograptus,"Diplograptidae Lapworth, 1873",Darriwilian (Middle Ordovician)-Sandbian (Late Ordovician),66CBBB
5,Amplexograptuscfmaxwelli,"(78.756,40.518)",Amplexograptus,"Diplograptidae Lapworth, 1873","Sandbian, Late Ordovician",66CBBB
6,Amplexograptus orientalis,"(119.387,30.118) (119.399,30.193) (118.437,30.688)",Metabolograptus,"Neodiplograptidae Melchin & others, 2011","Hirnantian, Late Ordovician",66CBBB
7,Amplexograptus suni,"(118.584,30.074) (109.173,28.221) (108.432,28.392) (106.849,28.069) (119.023,31.973) (110.489,30.613) (111.333,31.541) (111.076,30.173) (102.873,29.401) (120.993,31.394) (111.305,30.697) (121.265,31.055)",Amplexograptus,"Diplograptidae Lapworth, 1873","Katian, Late Ordovician",66CBBB
8,"Appendispinograptus venustus,Climacograptus aequus,Climacograptus venustus acuminatus,Climacograptus venustus,Climacograptus venustus simplex","(111.424,30.975) (106.898,32.477) (110.489,30.613) (117.968,30.561) (117.867,30.097) (119.092,30.625) (111.391,30.862) (108.432,28.392) (109.173,28.221) (106.844,28.556) (111.083,30.178) (111.411,31.078)",Appendispinograptus,"Climacograptidae Frech, 1897","Katian, Late Ordovician",66CBBB
9,Cardiograptus amplus,"(118.631,28.744) (118.786,30.351) (118.629,28.77) (112.531,21.966) (114.222,25.757)",Cardiograptus,"Isograptidae Harris, 1933","Dapingian, Middle Ordovician",66CBBB
10,Climacograptus angustatus,"(111.424,30.975) (106.925,27.765) (108.432,28.392) (109.191,28.246) (104.888,28.376) (120.993,31.394) (114.222,25.757) (114.529,25.662) (106.585,37.246) (106.351,37.142)",Proclimacograptus,,"Katian, Late Ordovician",66CBBB
11,Climacograptus angustus,"(88.682,31.129) (88.694,31.182) (118.437,30.688) (111.305,30.697) (108.631,31.985)",Normalograptus,"Normalograptidae Štorch & Serpagli, 1993",Hirnantian,66CBBB
12,Climacograptus bellulus,"(118.584,30.074) (118.978,30.604) (117.867,30.097) (115.062,29.303) (106.849,28.069) (111.333,31.541) (111.424,30.975) (102.873,29.401) (106.081,32.265) (107.603,28.611) (108.432,28.392) (108.029,28.596) (120.993,31.394)",Appendispinograptus,"Climacograptidae Frech, 1897","Katian, Late Ordovician",66CBBB
13,Climacograptus hastatus,"(110.489,30.613) (111.424,30.975) (111.411,31.078) (106.849,28.069) (111.379,30.858) (111.305,30.697) (106.995,33.081)",Climacograptus,"Climacograptidae Frech, 1897","Katian, Late Ordovician",66CBBB
14,Climacograptus leptothecalis,"(117.867,30.097) (118.786,30.351) (111.411,31.078) (105.247,28.31) (110.489,30.613) (111.333,31.541) (111.424,30.975) (109.173,28.221) (104.888,28.376) (120.993,31.394) (106.995,33.081)",Appendispinograptus,"Climacograptidae Frech, 1897","Katian, Late Ordovician",66CBBB
15,Climacograptus minutus,"(106.844,28.556) (106.925,27.765) (106.846,28.503) (88.682,31.129) (118.437,30.688) (118.786,30.351) (117.968,30.561)",Normalograptus,"Normalograptidae Štorch & Serpagli, 1993","Katian, Late Ordovician",66CBBB
16,Climacograptus miserabilis,"(118.786,30.351) (108.492,31.837) (106.844,28.556) (105.428,27.596) (109.503,29.739) (110.737,30.024) (88.682,31.129) (119.387,30.118) (118.437,30.688) (111.265,33.056) (119.124,30.678) (117.968,30.561)",Normalograptus,"Normalograptidae Štorch & Serpagli, 1993","Rhuddanian-Telychian, Llandovery (Early Silurian)",D0EBDF
17,Climacograptus normalis,"(118.584,30.074) (118.549,29.994) (106.995,33.081) (108.631,31.985) (106.849,28.069) (88.682,31.129)",Normalograptus,"Normalograptidae Štorch & Serpagli, 1993","Rhuddanian-Aeroian, Llandovery (early Silurian)",D0EBDF
18,Climacograptus pauperatus,"(106.651,36.219) (107.305,36.737) (106.585,37.246) (115.105,29.263) (115.062,29.303)",Proclimacograptus,,Darrwilian (Middle Ordovician)-Sandbian (Late Ordovician),66CBBB
19,Climacograptus supernus,"(118.584,30.074) (111.333,31.541) (110.489,30.613) (106.621,28.182) (108.432,28.392) (111.411,31.078) (102.873,29.401) (104.888,28.376) (120.993,31.394) (111.305,30.697) (106.995,33.081)",Appendispinograptus,"Climacograptidae Frech, 1897","Katian, Late Ordovician",66CBBB
20,Climacograptus textilis yichangensis,"(109.173,28.221) (103.376,29.913) (111.333,31.541) (111.424,30.975) (104.888,28.376) (111.435,30.914) (111.391,30.862)",Appendispinograptus,"Climacograptidae Frech, 1897","Katian, Late Ordovician",66CBBB
21,Climacograptus tianbaensis,"(108.631,31.985) (119.387,30.118)",Climacograptus,"Climacograptidae Frech, 1897","Rhuddanian-Aeroian, Llandovery (early Silurian)",D0EBDF
22,Colonograptus deubeli,"(99.198,24.724)",Colonograptus,"Monograptidae Lapworth, 1873","Homerian, Wenlock (Silurian)",D0EBDF
23,Colonograptus praedeubeli,"(99.198,24.724)",Colonograptus,"Monograptidae Lapworth, 1873","Homerian, Wenlock (Silurian)",D0EBDF
24,"Coronograptus cyphus,Pristiograptus cyphus orientalis,Pristiograptus cyphus suborientalis","(88.682,31.129) (106.849,28.069) (117.376,30.515)",Coronograptus,"Monograptidae Lapworth, 1873","Rhuddanian-Aeroian, Llandovery (early Silurian)",D0EBDF
25,Cryptograptus arcticus,"(106.585,37.246) (105.931,36.989) (107.305,36.737) (105.921,36.971)",Cryptograptus,"Glossograptidae Lapworth, 1873",Darriwilian (Middle Ordovician),66CBBB
26,Cryptograptus arcticus sinensis,"(115.062,29.303)",Cryptograptus,"Glossograptidae Lapworth, 1873",Darriwilian (Middle Ordovician),66CBBB
27,Cryptograptus gracilicornis,"(115.062,29.303) (106.103,37.117)",Cryptograptus,"Glossograptidae Lapworth, 1873","Dapingian, Middle Ordovician",66CBBB
28,Cryptograptus marcidus,"(106.585,37.246) (107.305,36.737)",Cryptograptus,"Glossograptidae Lapworth, 1873",Darriwilian (Middle Ordovician),66CBBB
29,Cryptograptus tricornis,"(106.585,37.246) (105.672,38.839) (106.574,38.243)",Cryptograptus,"Glossograptidae Lapworth, 1873",Darriwilian (Middle Ordovician),66CBBB
30,Cryptograptus tricornis_J,"(119.426,30.584)",Cryptograptus,"Glossograptidae Lapworth, 1873",Darriwilian (Middle Ordovician),66CBBB
31,"Orthograptus cf vesiculosus,Cytograptus vesiculosus,Orthograptus vesiculosus,Orthograptus vesiculosus penna,Pseudoglyptograptus vesiculosus,Orthogrpatus vesiculosus","(108.631,31.985) (106.844,28.556) (111.391,30.862) (118.288,32.242) (118.786,30.351) (88.895,31.282) (111.305,30.697) (118.255,30.499)",Cystograptus,"Normalograptidae Štorch & Serpagli, 1993","Rhuddanian, Llandovery (early Silurian)",D0EBDF
32,"Demirastrites triangulatus,Demirastritescftriangulatus","(117.424,31.298) (106.844,28.556) (111.461,33.084) (109.524,30.605)",Demirastrites,"Monograptidae Lapworth, 1873","Aeroian, Llandovery (early Silurian)",D0EBDF
33,Dicellograptus bispiralis,"(115.062,29.303)",Jiangxigraptus,"Dicranograptidae Lapworth, 1873","Sandbian, Late Ordovician",66CBBB
34,Dicellograptus caduceus,"(115.062,29.303)",Dicellograptus,"Dicranograptidae Lapworth, 1873","Sandbian, Late Ordovician",66CBBB
35,Dicellograptuscfcomplanatus,"(111.083,30.178) (111.411,31.078) (109.173,28.221) (109.442,28.585) (111.333,31.541) (111.23,30.404) (102.671,29.328) (106.844,28.556)",Dicellograptus,"Dicranograptidae Lapworth, 1873","Katian, Late Ordovician",66CBBB
36,"Dicellograptus divaricatus,Dicellograptus cf divaricatus","(107.305,36.737) (106.651,36.219)",Jiangxigraptus,"Dicranograptidae Lapworth, 1873","Sandbian, Late Ordovician",66CBBB
37,Dicellograptus divaricatus salopiensis,"(115.062,29.303)",Jiangxigraptus,"Dicranograptidae Lapworth, 1873","Sandbian, Late Ordovician",66CBBB
38,Dicellograptus ornatus,"(108.182,32.478) (106.995,33.081) (111.435,30.914) (118.786,30.351) (115.062,29.303) (106.849,28.069) (111.333,31.541) (104.894,28.382) (106.622,28.182) (106.844,28.556) (103.088,29.641) (105.25,28.33) (111.424,30.975) (111.083,30.178) (110.489,30.613) (106.898,32.477) (111.305,30.697)",Dicellograptus,"Dicranograptidae Lapworth, 1873","Katian, Late Ordovician",66CBBB
39,Dicellograptus smithi,"(115.062,29.303)",Dicellograptus,"Dicranograptidae Lapworth, 1873","Sandbian, Late Ordovician",66CBBB
40,Dicellograptus szechuanensis,"(106.925,27.765) (118.786,30.351) (118.549,29.994) (119.106,30.679) (115.105,29.263) (118.584,30.074) (106.849,28.069) (111.083,30.178) (106.814,30.313) (111.435,30.914) (111.391,30.862) (110.835,30.936) (109.503,29.739) (111.305,30.697)",Dicellograptus,"Dicranograptidae Lapworth, 1873","Katian, Late Ordovician",66CBBB
41,Dicellograptus tumidus,"(110.489,30.613) (110.835,30.936) (109.488,28.578) (111.424,30.975)",Dicellograptus,"Dicranograptidae Lapworth, 1873","Katian, Late Ordovician",66CBBB
42,Dicellograptus turgidus,"(111.411,31.078) (111.424,30.975) (106.849,28.069) (118.857,31.957) (109.173,28.221)",Dicellograptus,"Dicranograptidae Lapworth, 1873","Katian, Late Ordovician",66CBBB
43,Dicellograptus undatus,"(115.062,29.303)",Dicellograptus,"Dicranograptidae Lapworth, 1873","Sandbian, Late Ordovician",66CBBB
44,Diceratograptus mirus,"(111.411,31.078) (110.823,30.929) (111.305,30.697) (111.391,30.862) (111.424,30.975) (111.435,30.914)",Diceratograptus,"Dicranograptidae Lapworth, 1873","Katian, Late Ordovician",66CBBB
45,Dicranograptus irregularis,"(115.062,29.303)",Dicranograptus,"Dicranograptidae Lapworth, 1873","Sandbian, Late Ordovician",66CBBB
46,Dicranograptus nicholsoni parvangulus,"(107.305,36.737) (106.651,36.219)",Dicranograptus,"Dicranograptidae Lapworth, 1873","Sandbian, Late Ordovician",66CBBB
47,Dicranograptus ramosus,"(107.305,36.737) (106.651,36.219)",Dicranograptus,"Dicranograptidae Lapworth, 1873","Sandbian, Late Ordovician",66CBBB
48,Dicranograptus sinensis,"(115.062,29.303)",Dicranograptus,"Dicranograptidae Lapworth, 1873","Sandbian, Late Ordovician",66CBBB
49,Didymograptus euodus,"(106.585,37.246) (106.651,36.219)",Acrograptus,"Sigmagraptidae Cooper & Fortey, 1982",Darriwilian (Middle Ordovician),66CBBB
50,Didymograptus jiangxiensis,"(115.062,29.303)",Didymograptus,"Didymograptidae Mu, 1950",Darriwilian (Middle Ordovician),66CBBB
51,Didymograptus latus tholiformis,"(112.531,21.966)",Didymograptus,"Didymograptidae Mu, 1950","Dapingian, Middle Ordovician",66CBBB
52,Didymograptus linearis longus,"(106.103,37.117) (105.528,37.225) (107.156,37.231)",Didymograptus,"Didymograptidae Mu, 1950",Darriwilian (Middle Ordovician),66CBBB
53,Didymograptus miserabilis,"(115.062,29.303) (106.585,37.246)",Didymograptus,"Didymograptidae Mu, 1950",Darriwilian (Middle Ordovician),66CBBB
54,Didymograptus saerganensis,"(106.585,37.246) (106.612,36.574) (106.606,36.569)",Acrograptus,"Sigmagraptidae Cooper & Fortey, 1982",Darriwilian (Middle Ordovician),66CBBB
55,"Diplograptus angustidens,Diplograptus cf angustidens","(108.492,31.837) (119.387,30.118) (118.437,30.688) (108.631,31.985) (117.968,30.561)",Diplograptus,"Diplograptidae Lapworth, 1873","Hirnantian, Late Ordovician",66CBBB
56,Diplograptus bohemicus,"(104.888,28.376) (106.849,28.069) (111.424,30.975) (99.084,25.234) (119.387,30.118) (119.399,30.193) (118.437,30.688) (111.305,30.697)",Metabolograptus,"Neodiplograptidae Melchin & others, 2011","Hirnantian, Late Ordovician",66CBBB
57,Diplograptus concinnus,"(118.437,30.688) (118.189,30.689) (106.995,33.081)",Diplograptus,"Diplograptidae Lapworth, 1873","Hirnantian, Late Ordovician",66CBBB
58,Diplograptus diminutus,"(109.173,28.221) (119.387,30.118) (118.437,30.688)",Neodiplograptus,"Neodiplograptidae Melchin & others, 2011","Hirnantian, Late Ordovician",66CBBB
59,Diplograptus modestus,"(108.492,31.837) (111.305,30.697) (119.387,30.118) (118.437,30.688) (118.189,30.689)",Neodiplograptus,"Neodiplograptidae Melchin & others, 2011","Rhuddanian, Llandovery (early Silurian)",D0EBDF
60,Diplograptus proelongatus,"(106.585,37.246)",Diplograptus,"Diplograptidae Lapworth, 1873",Darriwilian (Middle Ordovician),66CBBB
61,Glossograptus briaros,"(115.062,29.303)",Glossograptus,"Glossograptidae Lapworth, 1873",Darriwilian (Middle Ordovician),66CBBB
62,Glossograptus robustus,"(106.585,37.246)",Glossograptus,"Glossograptidae Lapworth, 1873",Darriwilian (Middle Ordovician),66CBBB
63,Glyptograptus austrodentatus,"(112.531,21.966) (105.628,38.757) (106.103,37.117) (118.629,28.77) (106.288,32.915) (110.681,25.616) (118.786,30.351)",Levisograptus,,Dapingian-Darriwilian (Middle Ordovician),66CBBB
64,Glyptograptus dentatus,"(112.531,21.966) (105.628,38.757) (118.629,28.77) (95.362,37.861) (110.681,25.616)",Levisograptus,,Dapingian-Darriwilian (Middle Ordovician),66CBBB
65,Glyptograptus elegans,"(119.124,30.678) (119.387,30.118) (118.437,30.688) (118.189,30.689) (81.885,37.435) (102.702,41.626) (117.867,30.097)",Glyptograptus,"Retiolitidae Lapworth, 1873","Rhuddanian, Llandovery (early Silurian)",D0EBDF
66,Glyptograptus elegantulus,"(119.399,30.193) (119.387,30.118) (118.437,30.688)",Normalograptus,"Normalograptidae Štorch & Serpagli, 1993","Katian, Late Ordovician",66CBBB
67,Glyptograptus incertus,"(81.885,37.435) (108.492,31.837) (106.844,28.556) (119.387,30.118) (118.437,30.688) (119.124,30.678)",Glyptograptus,"Retiolitidae Lapworth, 1873","Rhuddanian-Aeroian, Llandovery (early Silurian)",D0EBDF
68,Glyptograptus gracilis,"(108.492,31.837) (108.432,28.392) (119.399,30.193) (118.437,30.688) (119.124,30.678)",Korenograptus,"Neodiplograptidae Melchin & others, 2011","Hirnantian, Late Ordovician",66CBBB
69,Glyptograptus lungmaensis,"(111.391,30.862) (117.968,30.561) (108.492,31.837) (118.437,30.688) (111.305,30.697)",Normalograptus,"Normalograptidae Štorch & Serpagli, 1993","Rhuddanian, Llandovery (early Silurian)",D0EBDF
70,Glyptograptus plurithecatus wuningensis,"(115.062,29.303)",Glyptograptus,"Retiolitidae Lapworth, 1873",Darrwilian (Middle Ordovician)-Sandbian (Late Ordovician),66CBBB
71,Glyptograptus tamariscus,"(108.631,31.985) (106.844,28.556) (111.424,30.975) (119.387,30.118) (118.437,30.688)",Glyptograptus,"Retiolitidae Lapworth, 1873","Rhuddanian-Aeroian, Llandovery (early Silurian)",D0EBDF
72,Glyptograptus tamariscus linealis,"(111.305,30.697) (111.424,30.975) (118.437,30.688) (106.844,28.556) (106.849,28.069) (88.682,31.129) (119.387,30.118)",Glyptograptus,"Retiolitidae Lapworth, 1873","Aeroian, Llandovery (early Silurian)",D0EBDF
73,Glyptograptus tamariscus magnus,"(111.424,30.975) (111.305,30.697) (108.492,31.837)",Glyptograptus,"Retiolitidae Lapworth, 1873","Hirnantian, Late Ordovician",66CBBB
74,Glyptograptus teretiusculus,"(106.585,37.246) (106.574,38.243) (115.062,29.303)",Hustedograptus,"Diplograptidae Lapworth, 1873",Darriwilian (Middle Ordovician),66CBBB
75,Glyptograptus teretiusculus siccatus,"(115.062,29.303)",Hustedograptus,"Diplograptidae Lapworth, 1873",Darriwilian (Middle Ordovician)-Sandbian (Late Ordovician),66CBBB
76,Jiangxigraptus inculus,"(107.305,36.737) (106.651,36.219)",Jiangxigraptus,"Dicranograptidae Lapworth, 1873","Sandbian, Late Ordovician",66CBBB
77,Jishougraptus mui,"(109.761,28.327)",Jishougraptus,"Sigmagraptidae Cooper & Fortey, 1982",Dapingian-Darriwilian (Middle Ordovician),66CBBB
78,Leptograptus flaccidus trentonensis,"(107.305,36.737) (115.062,29.303)",Ningxiagraptus,"Dicranograptidae Lapworth, 1873","Sandbian, Late Ordovician",66CBBB
79,"Demirastrites convolutus,Lituigraptus convolutus","(109.588,30.594) (110.653,30.224)",Lituigraptus,"Monograptidae Lapworth, 1873","Aeroian, Llandovery (early Silurian)",D0EBDF
80,Monoclimacis neimengolensis,"(105.673,38.839)",Monoclimacis,"Monograptidae Lapworth, 1873","Telychian, Llandovery (Early Silurian)",D0EBDF
81,Nicholsonograptus fasciculatus,"(115.062,29.303) (119.426,30.584) (119.466,30.037)",Nicholsonograptus,"Family Sinograptidae Mu, 1957",Darriwilian (Middle Ordovician),66CBBB
82,Nicholsonograptus praelongus,"(119.426,30.584)",Nicholsonograptus,"Family Sinograptidae Mu, 1957",Darriwilian (Middle Ordovician),66CBBB
83,"Normalograptus extraordinarius,Metabolograptus extraordinarius,Climacograptus extraordinarius,Amplexograptus extraordinarius,Amplexograptus cf extraordinarius","(106.849,28.069) (111.424,30.975) (108.432,28.392) (119.387,30.118) (99.198,24.724) (99.084,25.234) (119.399,30.193) (118.437,30.688)",Metabolograptus,"Neodiplograptidae Melchin & others, 2011","Hirnantian, Late Ordovician",66CBBB
84,"Glyptograptus persculptus-sinuatus,Glyptograptus persculptus,Glyptograptus aff persculptus,Glyptograptus cf persculptus,Normalograptus persculptus","(106.844,28.556) (111.435,30.914) (111.305,30.697) (88.682,31.129) (119.387,30.118)",Metabolograptus,"Neodiplograptidae Melchin & others, 2011","Hirnantian, Late Ordovician",66CBBB
85,Orthograptus calcaratus,"(111.411,31.078) (107.305,36.737)",Orthograptus,"Diplograptidae Lapworth, 1873","Sandbian, Late Ordovician",66CBBB
86,Paraorthograptus acuminatus,"(115.105,29.263) (118.786,30.351) (102.702,41.626)",Parakidograptus,"Dimorphograptidae Elles & Wood, 1908","Rhuddanian, Llandovery (early Silurian)",D0EBDF
87,"Paraorthograptus longispinus,Paraorthograptus nanchuanensis,Paraorthograptus simplex","(114.803,28.968) (111.424,30.975) (107.215,29.134) (115.105,29.263) (106.844,28.556) (111.391,30.862) (104.888,28.376) (118.786,30.351)",Paraorthograptus,"Diplograptidae Lapworth, 1873","Katian, Late Ordovician",66CBBB
88,"Paraorthograptus pacificus,Paraorthograptus angustus,Paraorthograptus typicus","(111.391,30.862) (106.844,28.556) (106.898,32.477) (111.083,30.178) (111.435,30.914) (111.424,30.975) (105.428,27.596) (111.333,31.541) (106.849,28.069) (107.215,29.134) (106.787,30.397) (110.489,30.613)",Paraorthograptus,"Diplograptidae Lapworth, 1873","Katian, Late Ordovician",66CBBB
89,Paraplegmatograptus connectus,"(111.424,30.975) (109.197,28.161) (111.391,30.862) (110.489,30.613) (111.083,30.178) (111.411,31.078) (111.305,30.697)",Paraplegmatograptus,"Lasiograptdae Lapworth, 1879","Hirnantian, Late Ordovician",66CBBB
90,Pararetiograptus regularis,"(109.197,28.161) (110.489,30.613) (111.083,30.178) (108.432,28.392) (111.333,31.541) (103.088,29.641) (121.476,31.206) (106.898,32.477)",Pararetiograptus,"Diplograptidae Lapworth, 1873","Katian, Late Ordovician",66CBBB
91,Petalolithus elongatus,"(108.631,31.985) (111.424,30.975)",Petalolithus,"Retiolitidae Lapworth, 1873","Aeroian-Telychian, Llandovery (Early Silurian)",D0EBDF
92,Petalolithus folium,"(108.631,31.985) (106.844,28.556)",Petalolithus,"Retiolitidae Lapworth, 1873","Aeroian, Llandovery (early Silurian)",D0EBDF
93,Phyllograptus anna,"(111.435,30.914) (107.465,26.437) (106.103,37.117) (119.426,30.584) (119.466,30.037)",Phyllograptus,"Phyllograptidae Lapworth, 1873",Darriwilian (Middle Ordovician),66CBBB
94,Pristiograptus variabilis,"(108.631,31.985) (111.432,30.971)",Pristiograptus,"Monograptidae Lapworth, 1873","Aeroian-Telychian, Llandovery (Early Silurian)",D0EBDF
95,Pseudoclimacograptus angulatus,"(106.585,37.246) (106.351,37.142) (107.156,37.231)",Archiclimacograptus,"Diplograptidae Lapworth, 1873",Darriwilian (Middle Ordovician),66CBBB
96,Pseudoclimacograptus demittolabiosus,"(111.411,31.078) (111.435,30.914) (107.305,36.737)",Pseudoclimacograptus,"Climacograptidae Frech, 1897","Sandbian, Late Ordovician",66CBBB
97,Pseudoclimacograptus formosus,"(118.629,28.77)",Undulograptus,,Dapingian-Darriwilian (Middle Ordovician),66CBBB
98,Pseudoclimacograptus longus,"(107.305,36.737) (106.651,36.219)",Archiclimacograptus,"Diplograptidae Lapworth, 1873","Sandbian, Late Ordovician",66CBBB
99,Pseudoclimacograptus modestus,"(107.305,36.737) (106.651,36.219) (107.156,37.231) (106.585,37.246) (106.606,36.048) (115.062,29.303)",Archiclimacograptus,"Diplograptidae Lapworth, 1873","Sandbian, Late Ordovician",66CBBB
100,Pseudoclimacograptus parvus,"(107.305,36.737) (107.156,37.231) (106.651,36.219) (105.931,36.989) (106.606,36.048)",Climacograptus,"Climacograptidae Frech, 1897","Sandbian, Late Ordovician",66CBBB
101,Pseudoclimacograptus parvus jiangxiensis,"(115.062,29.303)",Climacograptus,"Climacograptidae Frech, 1897","Sandbian, Late Ordovician",66CBBB
102,Pseudoclimacograptus wannanensis,"(115.062,29.303)",Pseudoclimacograptus,"Climacograptidae Frech, 1897",Darriwilian (Middle Ordovician),66CBBB
103,Rastrites guizhouensis,"(106.844,28.556) (111.424,30.975) (106.411,28.397)",Rastrites,"Monograptidae Lapworth, 1873","Rhuddanian-Aeroian, Llandovery (early Silurian)",D0EBDF
104,Rectograptus abbreviatus,"(111.435,30.914) (108.432,28.392) (104.888,28.376) (111.424,30.975) (106.844,28.556) (103.376,29.913) (109.173,28.221) (118.758,31.696) (106.995,33.081)",Rectograptus,"Diplograptidae Lapworth, 1873","Katian, Late Ordovician",66CBBB
105,Rectograptus pauperatus,"(118.584,30.074) (118.786,30.351) (118.549,29.994) (106.844,28.556) (111.435,30.914) (106.925,27.765) (107.899,28.573) (107.037,27.728) (102.655,29.352) (103.376,29.913) (81.885,37.435) (106.995,33.081)",Rectograptus,"Diplograptidae Lapworth, 1873","Katian, Late Ordovician",66CBBB
106,Reteograptus uniformis,"(115.062,29.303) (106.713,36.916) (106.651,36.219)",Reteograptus,,Darriwilian (Middle Ordovician),66CBBB
107,Retiolites geinitzianus,"(105.628,38.757)",Retiolites,"Retiolitidae Lapworth, 1873","Telychian, Llandovery (Early Silurian)",D0EBDF
108,Spirograptus turriculatus,"(106.898,32.478) (108.631,31.985) (106.898,32.477)",Spirograptus,"Monograptidae Lapworth, 1873","Telychian, Llandovery (Early Silurian)",D0EBDF
109,Streptograptus runcinatus,"(108.631,31.985) (86.104,28.359) (88.694,31.182)",Streptograptus,"Monograptidae Lapworth, 1873","Aeroian-Telychian, Llandovery (Early Silurian)",D0EBDF
110,Tangyagraptus typicus,"(111.411,31.078) (106.849,28.069) (110.489,30.613) (109.197,28.161) (111.424,30.975)",Tangyagraptus,"Dicranograptidae Lapworth, 1873","Katian, Late Ordovician",66CBBB
111,Trigonograptus ensiformis,"(118.628,28.746) (118.629,28.77) (95.362,37.861)",Pseudotrigonograptus,"Phyllograptidae Lapworth, 1873",Dapingian-Darriwilian (Middle Ordovician),66CBBB
112,Yinograptus grandis,"(108.432,28.392) (111.411,31.078) (111.424,30.975) (109.191,28.246) (109.197,28.161)",Yinograptus,"Lasiograptdae Lapworth, 1879","Katian, Late Ordovician",66CBBB
